ADQUIRIENCIA;ESTADO;TIPO_TERMINAL;TIPO_COMUNICACION;STATUS_TERMINAL;CANTIDAD_EQP
BANCO PROVINCIAL;Nueva Esparta;POS;LAN;Activo;76
BANCO PROVINCIAL;Apure;CAJA REGIST.;LAN;Activo;21
BANCO PROVINCIAL;Merida;POS;Inalambrico;Activo;2264
BANCO PROVINCIAL;Barinas;POS;Inalambrico;Activo;774
BANCO PROVINCIAL;Yaracuy;POS;Inalambrico;Activo;443
BANCO MERCANTIL;Guarico;POS;Inalambrico;Activo;564
BANCO PROVINCIAL;Bolivar;POS;Inalambrico;Inactivo;5
BANCO PROVINCIAL;Bolivar;POS;Inalambrico;Activo;741
BANCO MERCANTIL;Lara;POS;Inalambrico;Inactivo;5
BANCO MERCANTIL;Vargas;POS;DialUp;Inactivo;2
BANCO PROVINCIAL;Guarico;POS;LAN;Inactivo;2
BANCO MERCANTIL;Sucre;POS;DialUp;Inactivo;1
COMUN;Distrito Capital;CAJA REGIST.;LAN;Inactivo;3
BANCO PROVINCIAL;Portuguesa;POS;LAN;Inactivo;2
BANCO MERCANTIL;Falcon;POS;LAN;Inactivo;1
BANCO MERCANTIL;Delta Amacuro;POS;Inalambrico;Activo;1
BANCO MERCANTIL;Zulia;POS;DialUp;Activo;534
BANCO MERCANTIL;Miranda;POS;DialUp;Activo;1821
BANCO PROVINCIAL;Lara;POS;DialUp;Activo;1483
BANCO PROVINCIAL;Anzoategui;POS;DialUp;Activo;673
BANCO PROVINCIAL;Miranda;POS;DialUp;Inactivo;99
BANCO PROVINCIAL;Aragua;POS;DialUp;Inactivo;84
BANCO MERCANTIL;Tachira;POS;DialUp;Inactivo;21
BANCO PROVINCIAL;Falcon;POS;DialUp;Inactivo;30
BANCO PROVINCIAL;Anzoategui;POS;DialUp;Inactivo;15
BANCO MERCANTIL;Apure;POS;DialUp;Activo;58
BANCO PROVINCIAL;Distrito Capital;POS;DialUp;Inactivo;39
BANCO PROVINCIAL;Yaracuy;POS;DialUp;Inactivo;20
BANCO MERCANTIL;Falcon;POS;DialUp;Inactivo;2
BANCO PROVINCIAL;Merida;POS;LAN;Activo;391
BANCO PROVINCIAL;Miranda;POS;LAN;Activo;545
BANCO MERCANTIL;Carabobo;CAJA REGIST.;LAN;Activo;1135
BANCO MERCANTIL;Anzoategui;CAJA REGIST.;LAN;Activo;455
BANCO MERCANTIL;Tachira;POS;LAN;Inactivo;9
BANCO MERCANTIL;Portuguesa;POS;LAN;Activo;79
BANCO MERCANTIL;Bolivar;POS;Inalambrico;Activo;947
BANCO PROVINCIAL;Guarico;POS;Inalambrico;Activo;817
BANCO MERCANTIL;Zulia;POS;Inalambrico;Activo;1764
BANCO MERCANTIL;Cojedes;POS;Inalambrico;Activo;124
